က/v|ခြင်း/part	ကခြင်း
ကိုးရီးယား/n|ဝီကီ/n	ကိုးရီးယားဝီကီ
ကုဆန်/n|လ/n	ကုဆန်လ
ကုဋ္ဌနူနာ/n|ဆေးရုံ/n	ကုဋ္ဌနူနာဆေးရုံ
ကုတ်/n|နံပါတ်/n	ကုတ်နံပါတ်
ကုတ်/n|အင်္ကျီ/n	ကုတ်အင်္ကျီ
ကုန်/n|ကူးသန်း/v|ရောင်းဝယ်/v|ခြင်း/part	ကုန်ကူးသန်းရောင်းဝယ်ခြင်း
ကုန်/n|ကူးသန်း/v|ရောင်းဝယ်/v|ရေး/part	ကုန်ကူးသန်းရောင်းဝယ်ရေး
ကုန်/n|ထုတ်/v|တိုး/adj|ရေး/part	ကုန်ထုတ်တိုးရေး
ကုန်/n|ထုတ်လုပ်/v|မှု/part	ကုန်ထုတ်လုပ်မှု
ကုန်/n|ထုတ်လုပ်/v|ရေး/part	ကုန်ထုတ်လုပ်ရေး
ကုန်/n|ထုတ်လုပ်အား/n	ကုန်ထုတ်လုပ်အား
ကုန်/n|အမှတ်တံဆိပ်/n	ကုန်အမှတ်တံဆိပ်
ကုန်ကျစရိတ်/n|ငွေ/n	ကုန်ကျစရိတ်ငွေ
ကုန်ကြမ်း/n|ပစ္စည်း/n	ကုန်ကြမ်းပစ္စည်း
ကုန်လွန်/v|စေ/part|ခဲ့/part|ခြင်း/part	ကုန်လွန်စေခဲ့ခြင်း
ကုန်သည်/n|ကြီး/part	ကုန်သည်ကြီး
ကုန်သည်/n|မှု/part	ကုန်သည်မှု
ကုန်သည်/v|မှု/part	ကုန်သည်မှု
ကုန်သွယ်/v|ဖလှယ်/v|ခြင်း/part	ကုန်သွယ်ဖလှယ်ခြင်း
ကုန်သွယ်/v|မှု/part	ကုန်သွယ်မှု
ကုန်သွယ်/v|မှု/part|ဆိုင်ရာ/n|အခွင့်အရေး/n	ကုန်သွယ်မှုဆိုင်ရာအခွင့်အရေး
ကုန်သွယ်/v|မှု/part|ရေးရာ/n|ပညာရှင်/n	ကုန်သွယ်မှုရေးရာပညာရှင်
ကုန်သွယ်/v|ရေး/part	ကုန်သွယ်ရေး
ကုန်သွယ်/v|ရေး/part|ကဏ္ဍ/n	ကုန်သွယ်ရေးကဏ္ဍ
ကုန်သွယ်/v|ရေး/part|စခန်း/n	ကုန်သွယ်ရေးစခန်း
ကုန်သွယ်/v|ရေး/part|သင်္ဘော/n	ကုန်သွယ်ရေးသင်္ဘော
ကုန်း/n|တွင်း/n	ကုန်းတွင်း
ကုန်းဇောင်း/n|ရွာ/n	ကုန်းဇောင်းရွာ
ကုန်းတွင်းပိတ်/n|တိုင်းပြည်/n	ကုန်းတွင်းပိတ်တိုင်းပြည်
ကုန်းပြင်မြင့်/n|ကြီး/part	ကုန်းပြင်မြင့်ကြီး
ကုန်းဘောင်/n|ခေတ်/n	ကုန်းဘောင်ခေတ်
ကုန်းဘောင်/n|မင်းဆက်/n	ကုန်းဘောင်မင်းဆက်
ကုန်းမ/n|ကြီး/part	ကုန်းမကြီး
ကုန်းမြင့်/n|ဒေသ/n	ကုန်းမြင့်ဒေသ
ကုန်းမြေ/n|ကြီး/part	ကုန်းမြေကြီး
ကုန်းလမ်း/n|ခရီး/n	ကုန်းလမ်းခရီး
ကုန်းလိပ်/n|ကြီး/part	ကုန်းလိပ်ကြီး
ကုမ္ပဏီ/n|ကြီး/part	ကုမ္ပဏီကြီး
ကုမ္ပဏီ/n|တွင်း/n	ကုမ္ပဏီတွင်း
ကုမ္ပဏီ/n|နာမည်/n	ကုမ္ပဏီနာမည်
ကုမ္ပဏီ/n|လုပ်ငန်း/n	ကုမ္ပဏီလုပ်ငန်း
ကုမ္ပဏီ/n|အကြီးအကဲ/n	ကုမ္ပဏီအကြီးအကဲ
ကုမ္ပဏီ/n|အမြတ်/n	ကုမ္ပဏီအမြတ်
ကုရ်အာန်/n|ကျမ်းစာ/n	ကုရ်အာန်ကျမ်းစာ
ကုလ/n|ငြိမ်းချမ်း/adj|ရေး/part|တပ်/n	ကုလငြိမ်းချမ်းရေးတပ်
ကုလသမဂ္ဂ/n|ကိုယ်စားလှယ်ရုံး/n	ကုလသမဂ္ဂကိုယ်စားလှယ်ရုံး
ကုလသမဂ္ဂ/n|ဆိုင်ရာ/n	ကုလသမဂ္ဂဆိုင်ရာ
ကုလသမဂ္ဂ/n|တက္ကသိုလ်/n|ဌာနချုပ်/n	ကုလသမဂ္ဂတက္ကသိုလ်ဌာနချုပ်
ကုလသမဂ္ဂ/n|ဒုက္ခသည်/n|များ/part|ဆိုင်ရာ/n|မဟာမင်းကြီး/n|ရုံး/n	ကုလသမဂ္ဂဒုက္ခသည်များဆိုင်ရာမဟာမင်းကြီးရုံး
ကုလသမဂ္ဂ/n|နိုင်ငံ/n|ရေး/part|ဆိုင်ရာ/n|ဌာန/n	ကုလသမဂ္ဂနိုင်ငံရေးဆိုင်ရာဌာန
ကုလသမဂ္ဂ/n|ဖွံ့ဖြိုး/adj|ရေး/part|အဖွဲ့/n	ကုလသမဂ္ဂဖွံ့ဖြိုးရေးအဖွဲ့
ကုလသမဂ္ဂ/n|ရုံးချုပ်/n	ကုလသမဂ္ဂရုံးချုပ်
ကုလသမဂ္ဂ/n|လုံခြုံ/v|ရေး/part|ကောင်စီ/n	ကုလသမဂ္ဂလုံခြုံရေးကောင်စီ
ကုလသမဂ္ဂ/n|လူ့/n|အခွင့်အရေး/n|ကော်မရှင်/n	ကုလသမဂ္ဂလူ့အခွင့်အရေးကော်မရှင်
ကုလသမဂ္ဂ/n|အတွင်းရေးမှူးချုပ်/n	ကုလသမဂ္ဂအတွင်းရေးမှူးချုပ်
ကုလသမဂ္ဂ/n|အတွင်းရေးမှူးချုပ်/n|ဦးသန့်/n	ကုလသမဂ္ဂအတွင်းရေးမှူးချုပ်ဦးသန့်
ကုလသမဂ္ဂ/n|အထွေထွေအတွင်းရေးမှူးချုပ်/n	ကုလသမဂ္ဂအထွေထွေအတွင်းရေးမှူးချုပ်
ကုလသမဂ္ဂ/n|အထွေထွေအတွင်းရေးမှူးချုပ်/n|ကိုဖီအာနန်/n	ကုလသမဂ္ဂအထွေထွေအတွင်းရေးမှူးချုပ်ကိုဖီအာနန်
ကုလသမဂ္ဂ/n|အပြည်ပြည်/n|ဆိုင်ရာ/n|သင်တန်းကျောင်း/n	ကုလသမဂ္ဂအပြည်ပြည်ဆိုင်ရာသင်တန်းကျောင်း
ကုလား/n|ဗမာ/n|အဓိကရုဏ်း/n	ကုလားဗမာအဓိကရုဏ်း
ကုလား/n|သင်္ဘောသား/n	ကုလားသင်္ဘောသား
ကုလားပဲ/n|မှုန့်/n	ကုလားပဲမှုန့်
ကုလားအုပ်/n|ခေါင်း/n	ကုလားအုပ်ခေါင်း
ကုသ/v|ပေး/part|နိုင်/part|ရေး/part	ကုသပေးနိုင်ရေး
ကုသမဂ္ဂ/n|ကိုယ်စားလှယ်/n	ကုသမဂ္ဂကိုယ်စားလှယ်
ကုသိမရဋ္ဌ/n|ဒေသ/n	ကုသိမရဋ္ဌဒေသ
ကုသိုလ်တော်/n|ဘုရား/n	ကုသိုလ်တော်ဘုရား
ကူညီ/v|ကယ်ဆယ်/v|မှု/part	ကူညီကယ်ဆယ်မှု
ကူညီ/v|ထောက်ပံ့/v|မှု/part	ကူညီထောက်ပံ့မှု
ကူညီ/v|ပံ့ပိုး/v|မှု/part	ကူညီပံ့ပိုးမှု
ကူညီ/v|မှု/part	ကူညီမှု
ကူမင်း/n|မြို့/n	ကူမင်းမြို့
ကူလူ/n|တောင်ကြား/n|ဒေသ/n	ကူလူတောင်ကြားဒေသ
ကူးတို့/n|လှေ/n	ကူးတို့လှေ
ကူးတို့/n|သင်္ဘော/n	ကူးတို့သင်္ဘော
ကူးယူ/v|ထား/part|ခြင်း/part	ကူးယူထားခြင်း
ကူးလူးဆက်ဆံ/v|မှု/part	ကူးလူးဆက်ဆံမှု
ကူးသန်း/v|နိုင်/part|မှု/part	ကူးသန်းနိုင်မှု
ကူးသန်း/v|ရောင်းဝယ်/v|မှု/part	ကူးသန်းရောင်းဝယ်မှု
ကူးသန်း/v|ရောင်းဝယ်/v|ရေး/part	ကူးသန်းရောင်းဝယ်ရေး
ကူးသန်း/v|သွားလာ/v|ရေး/part	ကူးသန်းသွားလာရေး
ကူးသန်းသွားလာ/v|ရေး/part	ကူးသန်းသွားလာရေး
ကေယာမတ်/n|နေ့/n	ကေယာမတ်နေ့
ကေလာသ/n|တောင်/n	ကေလာသတောင်
ကေလာသ/n|တောင်/n|ခြေရင်း/n	ကေလာသတောင်ခြေရင်း
ကေသရ/n|ခြင်္သေ့/n	ကေသရခြင်္သေ့
ကေအင်တီ/n|တပ်ပြေး/n|အဖွဲ့/n	ကေအင်တီတပ်ပြေးအဖွဲ့
ကောက်/n|စပါး/n	ကောက်စပါး
ကောက်/n|စပါးပင်/n	ကောက်စပါးပင်
ကောက်/n|မျိုး/n	ကောက်မျိုး
ကောက်ကွေ့/n|ချောင်း/n	ကောက်ကွေ့ချောင်း
ကောက်စိုက်/v|ခြင်း/part	ကောက်စိုက်ခြင်း
ကောက်နုတ်/v|ချက်/part	ကောက်နုတ်ချက်
ကောက်ယူ/v|ခဲ့/part|ခြင်း/part	ကောက်ယူခဲ့ခြင်း
ကောက်ယူ/v|မှု/part	ကောက်ယူမှု
ကောက်သစ်/n|စားပွဲ/n	ကောက်သစ်စားပွဲ
ကောင်စီ/n|နှင့်/conj|ဥပဒေပြု/v|အဖွဲ့/n	ကောင်စီနှင့်ဥပဒေပြုအဖွဲ့
ကောင်စီ/n|ဝင်/v	ကောင်စီဝင်
ကောင်း/adj|ခြင်း/part	ကောင်းခြင်း
ကောင်း/adj|မှု/part	ကောင်းမှု
ကောင်းကင်/n|တမန်/n	ကောင်းကင်တမန်
ကောင်းကင်/n|တမန်တော်/n	ကောင်းကင်တမန်တော်
ကောင်းကင်/n|နိုင်ငံတော်/n	ကောင်းကင်နိုင်ငံတော်
ကောင်းစား/v|ရေး/part	ကောင်းစားရေး
ကောင်းမွန်/adj|မှု/part	ကောင်းမွန်မှု
ကောင်းမှု/n|တော်/part	ကောင်းမှုတော်
ကောန္တကိန္နရီ/n|ရုပ်/n	ကောန္တကိန္နရီရုပ်
ကောလင်း/n|မြို့/n	ကောလင်းမြို့
ကောလိပ်/n|ကျောင်းအုပ်ကြီး/n	ကောလိပ်ကျောင်းအုပ်ကြီး
ကောသမိန်/n|မြို့/n	ကောသမိန်မြို့
ကောသမိန်ကော/n|ကျွန်း/n	ကောသမိန်ကောကျွန်း
ကောသလ/n|မင်း/n	ကောသလမင်း
ကောသလ/n|မင်း/n|အိပ်မက်/n	ကောသလမင်းအိပ်မက်
ကောသလ/n|မင်းကြီး/n	ကောသလမင်းကြီး
ကောသလ/n|အိပ်မက်/n	ကောသလအိပ်မက်
ကော့ကဆွိုက်/n|လူမျိုးရင်း/n	ကော့ကဆွိုက်လူမျိုးရင်း
ကော့ကောင်/n|ဒေသ/n	ကော့ကောင်ဒေသ
ကော့ဘိန်း/n|အရပ်/n	ကော့ဘိန်းအရပ်
ကော်ဇော/n|အနု/n|အကြမ်း/n	ကော်ဇောအနုအကြမ်း
ကော်တွန်/n|သိုးမွေး/n	ကော်တွန်သိုးမွေး
ကော်ဖီ/n|စက်/n	ကော်ဖီစက်
ကော်မရှင်နာ/n|လမ်း/n	ကော်မရှင်နာလမ်း
ကဲရာလာ/n|ကမ်းရိုးတန်း/n	ကဲရာလာကမ်းရိုးတန်း
ကဲရာလာ/n|ပြည်နယ်/n	ကဲရာလာပြည်နယ်
ကဲရာလာ/n|ပြည်နယ်/n|တွင်း/n	ကဲရာလာပြည်နယ်တွင်း
ကံ/n|အကြောင်းတရား/n	ကံအကြောင်းတရား
ကံကောင်း/v|တဲ့/part|သူ/n	ကံကောင်းတဲ့သူ
ကံကော်ဝတ်ရည်/n|စာပေ/n	ကံကော်ဝတ်ရည်စာပေ
ကံလှ/n|ကွက်သစ်/n	ကံလှကွက်သစ်
ကျ/v|သွား/part|ကြောင်း/part	ကျသွားကြောင်း
ကျင်လည်/v|မှု/part	ကျင်လည်မှု
ကျင့်ကြံ/v|နေထိုင်/v|ခြင်း/part	ကျင့်ကြံနေထိုင်ခြင်း
ကျင့်ကြံ/v|နေထိုင်/v|သူ/n	ကျင့်ကြံနေထိုင်သူ
ကျင့်ကြံ/v|မှု/part	ကျင့်ကြံမှု
ကျင့်သုံး/v|ခဲ့/part|ခြင်း/part	ကျင့်သုံးခဲ့ခြင်း
ကျင့်သုံး/v|နိုင်/part|ကြောင်း/part	ကျင့်သုံးနိုင်ကြောင်း
ကျင့်သုံး/v|မှု/part	ကျင့်သုံးမှု
ကျင်းပ/v|ခြင်း/part	ကျင်းပခြင်း
ကျဆင်း/v|ခြင်း/part	ကျဆင်းခြင်း
ကျဆင်း/v|သွား/part|ခြင်း/part	ကျဆင်းသွားခြင်း
ကျည်းကန်/n|ရွာ/n	ကျည်းကန်ရွာ
ကျန်/v|သူ/n	ကျန်သူ
ကျန်စစ်သား/n|မင်း/n	ကျန်စစ်သားမင်း
ကျန်ရစ်/v|ခဲ့/part|ခြင်း/part	ကျန်ရစ်ခဲ့ခြင်း
ကျန်ရစ်/v|သူ/n	ကျန်ရစ်သူ
ကျန်းမာ/v|ရေး/part	ကျန်းမာရေး
ကျန်းမာ/v|ရေး/part|ပညာ/n	ကျန်းမာရေးပညာ
ကျန်းမာ/v|ရေး/part|ဝန်ကြီးဌာန/n	ကျန်းမာရေးဝန်ကြီးဌာန
ကျန်းမာ/v|ရေး/part|အာမခံ/n	ကျန်းမာရေးအာမခံ
ကျမိုင်း/n|အနွယ်/n|ဝင်/v	ကျမိုင်းအနွယ်ဝင်
ကျမ်း/n|ကြီး/part	ကျမ်းကြီး
ကျမ်း/n|စာအုပ်/n	ကျမ်းစာအုပ်
ကျမ်းဂန်/n|စာပေ/n	ကျမ်းဂန်စာပေ
