ဆရာကြီး/n|ဦးစိန်/n	ဆရာကြီးဦးစိန်
ယိုးဒယား/n|ဘာသာ/n	ယိုးဒယားဘာသာ
ရာဇဝင်/n|စာပေ/n	ရာဇဝင်စာပေ
ထိခိုက်ဒဏ်ရာရ/v|ခြင်း/part	ထိခိုက်ဒဏ်ရာရခြင်း
ငတ်မွတ်/v|မှု/part	ငတ်မွတ်မှု
ခြိမ်းခြောက်/v|ခြင်း/part	ခြိမ်းခြောက်ခြင်း
ငိုယို/v|ခြင်း/part	ငိုယိုခြင်း
သံလွင်/n|မြစ်/n	သံလွင်မြစ်
မင်္ဂလာဆောင်/n|လုလင်/n	မင်္ဂလာဆောင်လုလင်
ကျောင်းသား/n|သမဂ္ဂ/n	ကျောင်းသားသမဂ္ဂ
သိပ္ပံ/n|ဘာသာရပ်/n	သိပ္ပံဘာသာရပ်
ဖြစ်ပေါ်/v|ခြင်း/part	ဖြစ်ပေါ်ခြင်း
ထိန်းကျောင်း/v|စောင့်ရှောက်/v|မှု/part	ထိန်းကျောင်းစောင့်ရှောက်မှု
တည်/v|ထား/part|ခြင်း/part	တည်ထားခြင်း
အနောက်/n|ဘက်/n	အနောက်ဘက်
ပလတ်စတစ်/n|အိတ်/n	ပလတ်စတစ်အိတ်
တောင်ကြီး/n|မြို့/n	တောင်ကြီးမြို့
ရှမ်း/n|ပြည်နယ်/n	ရှမ်းပြည်နယ်
ရုံးစိုက်/v|ရာ/part	ရုံးစိုက်ရာ
ပြည်နယ်/n|အစိုးရ/n|ရုံး/n	ပြည်နယ်အစိုးရရုံး
အရှေ့/n|ပိုင်း/part|တိုင်း/n|စစ်ဌာနချုပ်/n	အရှေ့ပိုင်းတိုင်းစစ်ဌာနချုပ်
တောင်ကြီး/n|ပညာ/n|ရေး/part|ကောလိပ်/n	တောင်ကြီးပညာရေးကောလိပ်
တောင်ကြီး/n|တက္ကသိုလ်/n	တောင်ကြီးတက္ကသိုလ်
ရှမ်း/n|ပြည်နယ်/n	ရှမ်းပြည်နယ်
ယဉ်ကျေး/adj|မှု/part|ပြတိုက်/n	ယဉ်ကျေးမှုပြတိုက်
လွတ်လပ်/v|ရေး/part	လွတ်လပ်ရေး
မျက်မှောက်/n|ခေတ်/n	မျက်မှောက်ခေတ်
မလေးရှား/n|နိုင်ငံ/n	မလေးရှားနိုင်ငံ
တိုင်းရင်းသား/n|လူမျိုး/n	တိုင်းရင်းသားလူမျိုး
လွတ်လပ်/v|ရေး/part	လွတ်လပ်ရေး
လုပ်ကြံ/v|မှု/part	လုပ်ကြံမှု
မျက်မှောက်/n|ခေတ်/n	မျက်မှောက်ခေတ်
ဝါဆို/n|လ/n	ဝါဆိုလ
ပုဂံ/n|ကျောက်စာ/n	ပုဂံကျောက်စာ
ကွဲလွဲ/v|ချက်/part	ကွဲလွဲချက်
စစ်/n|အစိုးရ/n	စစ်အစိုးရ
အင်္ဂလိပ်/n|အမည်/n	အင်္ဂလိပ်အမည်
ပြောင်းလဲ/v|ခေါ်ဝေါ်/v|စေ/part|ခြင်း/part	ပြောင်းလဲခေါ်ဝေါ်စေခြင်း
ဗမာ/n|အမည်/n	ဗမာအမည်
ယုံကြည်/v|ချက်/part	ယုံကြည်ချက်
လုပ်ဆောင်/v|လိုက်/part|ခြင်း/part	လုပ်ဆောင်လိုက်ခြင်း
ကြေးဝါ/n|ခေတ်/n	ကြေးဝါခေတ်
ယုံကြည်/v|မှု/part	ယုံကြည်မှု
ယဉ်ကျေး/adj|မှု/part	ယဉ်ကျေးမှု
ပင်ကို/n|ဗီဇ/n	ပင်ကိုဗီဇ
ယဉ်ကျေး/adj|မှု/part	ယဉ်ကျေးမှု
ဘယ်/n|ဘက်/n	ဘယ်ဘက်
ညာ/n|ဘက်/n	ညာဘက်
မော်လမြိုင်/n|မြို့/n	မော်လမြိုင်မြို့
သင်္ကြန်/n|ရေသဘင်/n|ပွဲတော်/n	သင်္ကြန်ရေသဘင်ပွဲတော်
မြန်မာ/n|နိုင်ငံ/n	မြန်မာနိုင်ငံ
မွန်/n|မြို့ပြ/n|နိုင်ငံ/n	မွန်မြို့ပြနိုင်ငံ
မြောင်းမြ/n|မြို့/n	မြောင်းမြမြို့
ဆိပ်ကြီးခေါ်/n|ဒေသ/n	ဆိပ်ကြီးခေါ်ဒေသ
ကျိုက်အမါန်/n|မြို့/n	ကျိုက်အမါန်မြို့
ခေါ်တွင်/v|ကြောင်း/part	ခေါ်တွင်ကြောင်း
အမေရိကန်/n|နိုင်ငံ/n	အမေရိကန်နိုင်ငံ
စူရှီတိုတို/n|မြို့/n	စူရှီတိုတိုမြို့
မြောက်/n|ပိုင်း/part	မြောက်ပိုင်း
ဆက်သွယ်/v|ရေး/part	ဆက်သွယ်ရေး
သိမ်းပိုက်/v|ထား/part|ခြင်း/part	သိမ်းပိုက်ထားခြင်း
မြောက်/n|ပိုင်း/part	မြောက်ပိုင်း
ရှာလတန်နန်ဂို/n|ပြည်နယ်/n	ရှာလတန်နန်ဂိုပြည်နယ်
အစိုးရ/n|တပ်/n	အစိုးရတပ်
ဆောင်ရွက်/v|ချက်/part	ဆောင်ရွက်ချက်
တောင်တန်း/n|ဒေသ/n	တောင်တန်းဒေသ
စိတ်ချ/v|ယုံကြည်/v|မှု/part	စိတ်ချယုံကြည်မှု
ရယူ/v|နိုင်/part|ခြင်း/part	ရယူနိုင်ခြင်း
မင်းကွန်း/n|ခေါင်းလောင်း/n|ကြီး/part	မင်းကွန်းခေါင်းလောင်းကြီး
မြသိန်းတန်/n|စေတီ/n	မြသိန်းတန်စေတီ
မင်းကွန်း/n|မြို့/n	မင်းကွန်းမြို့
ရှင်းလင်း/v|သုတ်သင်/v|လိုက်/part|ခြင်း/part	ရှင်းလင်းသုတ်သင်လိုက်ခြင်း
မြန်မာ/n|နိုင်ငံ/n|အစိုးရ/n|ခေါင်းဆောင်/n	မြန်မာနိုင်ငံအစိုးရခေါင်းဆောင်
ယုံကြည်/v|ချက်/part	ယုံကြည်ချက်
လုပ်ကြံ/v|မှု/part|ကြီး/part	လုပ်ကြံမှုကြီး
ကာကွယ်/v|ရေး/part	ကာကွယ်ရေး
အရံ/n|စစ်သား/n	အရံစစ်သား
အပူပိုင်း/n|ဒေသ/n	အပူပိုင်းဒေသ
သင်္ဘောသား/n|ကုလား/n	သင်္ဘောသားကုလား
အသား/n|မင်းသား/n	အသားမင်းသား
အင်္ဂါ/n|ဂြိုဟ်/n	အင်္ဂါဂြိုဟ်
ကာဘွန်ဒိုင်အောက်ဆိုက်ဒ်/n|ဓာတ်/n	ကာဘွန်ဒိုင်အောက်ဆိုက်ဒ်ဓာတ်
တူးဖော်/v|ရှာဖွေ/v|ခြင်း/part	တူးဖော်ရှာဖွေခြင်း
ဘုရင်ခံ/n|ကောင်စီ/n	ဘုရင်ခံကောင်စီ
ယာယီ/n|အမျိုးသား/n|အစိုးရ/n	ယာယီအမျိုးသားအစိုးရ
လိုအပ်/v|ချက်/part	လိုအပ်ချက်
သောကြာ/n|ဂြိုဟ်/n	သောကြာဂြိုဟ်
ဓာတ်/n|ပစ္စည်း/n	ဓာတ်ပစ္စည်း
ဓာတ်/n|ပစ္စည်း/n	ဓာတ်ပစ္စည်း
မြန်မာ/n|နိုင်ငံ/n	မြန်မာနိုင်ငံ
အဝေးရောက်/n|အစိုးရ/n	အဝေးရောက်အစိုးရ
ပညာရပ်/n|ခွဲ/n	ပညာရပ်ခွဲ
ရှင်သန်/v|ကြီးထွား/v|မျိုးပွား/v|ရေး/part	ရှင်သန်ကြီးထွားမျိုးပွားရေး
ပျဉ်းမနား/n|မြို့/n	ပျဉ်းမနားမြို့
မိုး/n|သစ်တော/n|ရာသီဥတု/n	မိုးသစ်တောရာသီဥတု
ဟိမဝန္တာ/n|တောင်တန်း/n	ဟိမဝန္တာတောင်တန်း
တောင်ကုန်း/n|ဒေသ/n	တောင်ကုန်းဒေသ
ဒက္ခိဏ/n|ကုန်းပြင်မြင့်/n	ဒက္ခိဏကုန်းပြင်မြင့်
မြောက်/n|ဘက်/n	မြောက်ဘက်
တောင်ကုန်း/n|ဒေသ/n	တောင်ကုန်းဒေသ
အနောက်/n|ဘက်/n	အနောက်ဘက်
ကပ္ပလီ/n|ကျွန်း/n	ကပ္ပလီကျွန်း
ဖုံးလွှမ်း/v|ရာ/part	ဖုံးလွှမ်းရာ
စိုက်ပျိုး/v|ရေး/part|ကောလိပ်/n	စိုက်ပျိုးရေးကောလိပ်
အမေရိကန်/n|ပြည်ထောင်စု/n	အမေရိကန်ပြည်ထောင်စု
ခွေး/n|စွယ်/n	ခွေးစွယ်
မြင်း/n|ဇက်/n	မြင်းဇက်
အဖို/n|ဓာတ်/n	အဖိုဓာတ်
အန်နုတ်/n|ရောင်ခြည်/n	အန်နုတ်ရောင်ခြည်
ရှိ/v|ကြောင်း/part	ရှိကြောင်း
သိပ္ပံ/n|ပညာရှင်/n	သိပ္ပံပညာရှင်
အိန္ဒိယ/n|နိုင်ငံ/n	အိန္ဒိယနိုင်ငံ
ကုန်သွယ်/v|ရေး/part	ကုန်သွယ်ရေး
အန်ကောဝပ်/n|ဘုရားကျောင်း/n	အန်ကောဝပ်ဘုရားကျောင်း
ကျွန်တော့်/pron|နာမည်/n	ကျွန်တော့်နာမည်
မစ္စတာ/n|ဂျန်တာရိုတာကာဟာရှီ/n	မစ္စတာဂျန်တာရိုတာကာဟာရှီ
ငြင်းဆန်/v|မှု/part	ငြင်းဆန်မှု
မြန်မာ့/n|စွယ်စုံကျမ်း/n	မြန်မာ့စွယ်စုံကျမ်း
ဒီဇင်ဘာ/n|လ/n	ဒီဇင်ဘာလ
ကိုလိုနီ/n|ခေတ်/n	ကိုလိုနီခေတ်
တရုတ်/n|ပြည်သူ့/n|သမ္မတနိုင်ငံ/n	တရုတ်ပြည်သူ့သမ္မတနိုင်ငံ
တရုတ်/n|နိုင်ငံ/n	တရုတ်နိုင်ငံ
ပါကစ္စတန်/n|နိုင်ငံ/n	ပါကစ္စတန်နိုင်ငံ
ပိုင်ဆိုင်/v|မှု/part	ပိုင်ဆိုင်မှု
ဂေါတမ/n|မြတ်စွာဘုရား/n	ဂေါတမမြတ်စွာဘုရား
ဟောကြား/v|ချက်/part	ဟောကြားချက်
စက်တင်ဘာ/n|လ/n	စက်တင်ဘာလ
မြန်မာ/n|နိုင်ငံ/n	မြန်မာနိုင်ငံ
ခန့်ထား/v|ခြင်း/part	ခန့်ထားခြင်း
ကာကွယ်/v|ရေး/part	ကာကွယ်ရေး
နိုင်ငံခြား/n|ရေးရာ/n	နိုင်ငံခြားရေးရာ
သောကြာ/n|ဂြိုဟ်/n	သောကြာဂြိုဟ်
သောကြာ/n|ဂြိုဟ်/n	သောကြာဂြိုဟ်
ကျိုက္ကဆံ/n|ကွင်း/n	ကျိုက္ကဆံကွင်း
ရန်ကုန်/n|တက္ကသိုလ်/n|ကျောင်းသား/n	ရန်ကုန်တက္ကသိုလ်ကျောင်းသား
အင်္ဂလိပ်/n|တပ်/n	အင်္ဂလိပ်တပ်
အင်္ဂလိပ်/n|တပ်/n	အင်္ဂလိပ်တပ်
လယ်ယာ/n|ထွက်ကုန်/n	လယ်ယာထွက်ကုန်
မ/part|လုံလောက်/v|မှု/part	မလုံလောက်မှု
ဝိသေသ/n|လက္ခဏာ/n|ကြီး/part	ဝိသေသလက္ခဏာကြီး
ဝါဆို/n|လ/n	ဝါဆိုလ
မူလ/n|ရင်းမြစ်/n	မူလရင်းမြစ်
အင်္ဂလိပ်/n|လူမျိုး/n	အင်္ဂလိပ်လူမျိုး
အင်္ဂလန်/n|နိုင်ငံ/n	အင်္ဂလန်နိုင်ငံ
သိုးမွေး/n|ထည်/n	သိုးမွေးထည်
သတ်မှတ်/v|ကြေညာ/v|မှု/part	သတ်မှတ်ကြေညာမှု
ပြင်သစ်/n|အမျိုးသား/n	ပြင်သစ်အမျိုးသား
အနာတမီ/n|ပညာရပ်/n	အနာတမီပညာရပ်
သား/n|သမီး/n	သားသမီး
ဗိုလ်ချုပ်/n|အောင်ဆန်း/n	ဗိုလ်ချုပ်အောင်ဆန်း
ဘဝ/n|ကြင်ဖော်/n	ဘဝကြင်ဖော်
